Id,Churn
0,0.03818680350053162
1,0.6364784998172766
2,0.6445291968850183
3,0.018707584817509778
4,0.0063071019414831075
5,0.12288731990237392
6,0.3681884509541506
7,0.2634578760264708
8,0.04510983439878374
9,0.3428612318531554
10,0.18317343727538327
11,0.1782581941033573
12,0.30406051523620325
13,0.11397014930739836
14,0.012342007110751951
15,0.0348784786362974
16,0.17089625194723446
17,0.30134615054049074
18,0.02993215253191942
19,0.02259622479671791
20,0.14951228911238829
21,0.015440517570836483
22,0.7991110655544489
23,0.4771179150852014
24,0.1210859117091307
25,0.4540924750418214
26,0.13197518620708093
27,0.025025489528293376
28,0.050836602950984425
29,0.0055780737543021566
30,0.5659593588188772
31,0.30297038217153893
32,0.7388473027584782
33,0.5459843588054688
34,0.06069068494465587
35,0.026454994686063882
36,0.4836823433871042
37,0.04461248660777836
38,0.13005244192812004
39,0.039970004751997426
40,0.3024803223038013
41,0.5830575097031291
42,0.43749477272433035
43,0.20033650113595777
44,0.34063349336897425
45,0.2994988567032096
46,0.1849264955802201
47,0.12655407124010493
48,0.28939576154186863
49,0.2887970994128141
50,0.35431021148109837
51,0.7466759870316515
52,0.22533765495038874
53,0.11840406843709761
54,0.448165800541582
55,0.01123137323308606
56,0.025735128562479715
57,0.6911294995677356
58,0.6384432170286447
59,0.3450895066560909
60,0.02022307559599146
61,0.5910912667801214
62,0.16145511292150105
63,0.11533078080921146
64,0.7617478624428747
65,0.010897173481031695
66,0.15987704522364984
67,0.41049326317020496
68,0.019770110504193333
69,0.5915534420351369
70,0.5572071672398387
71,0.7225446013807653
72,0.04989320356609423
73,0.5017869131088578
74,0.8766957762072046
75,0.024727157206380072
76,0.13184584704973862
77,0.04378000299947931
78,0.1571154993082574
79,0.01594747912140319
80,0.4386754383643474
81,0.7337578983498534
82,0.7436538672689191
83,0.1794971878837315
84,0.3050681309019359
85,0.06682239913335745
86,0.05903992990050956
87,0.2849834846465714
88,0.31025555424035955
89,0.3050681309019359
90,0.15083854908245836
91,0.08153326999630378
92,0.8505395651407239
93,0.7738918322625156
94,0.006035370468656966
95,0.030362456769181787
96,0.0909414221858034
97,0.7364973168349641
98,0.25002092857921615
